,degree,closeness,betweenness,eigen,pagerank,clustering
30,0.003935901040202418,0.21218945450050716,5.883161492398608e-05,0.002350886576191348,0.00017349553934328338,0.08068783068783068
1412,0.004076468934495361,0.20096744343990244,0.0,0.0014902753920884681,0.0008141761230496596,0.024630541871921183
3352,0.07548495923531065,0.2749800521802086,0.004332431860968848,0.08679366084685634,0.0017851250122027217,0.07534965521076632
5254,0.04188923249929716,0.2765668276533207,0.0015282548705498615,0.0785124622998388,0.0021500675059293226,0.04723590833069656
5543,0.039640146190610064,0.2617711511371707,0.0022015841120237435,0.04695640765724488,0.0010508052619841283,0.0881142366547144
7478,0.012932246274950801,0.2492828121936495,0.0,0.028279357351073918,0.000812430352613478,0.05303392259913999
3,0.007590666291818949,0.18439152655568392,6.987222987128784e-05,0.0005090875221007234,0.00020539498232448021,0.12745098039215685
28,0.03584481304470059,0.22651198554228885,0.004563992520641177,0.004785163029514965,0.0016986730322136935,0.055098887515451174
39,0.009699184706213101,0.202127808023246,0.0005066527929450625,0.0013560280174023166,0.0003439790689580259,0.1232905982905983
54,0.006606691031768344,0.2178527860949846,0.00010591081529808075,0.0029160486654594853,0.00034765464971898025,0.1566265060240964
108,0.0018273826258082652,0.17302387343283973,1.0410893008589586e-06,0.00014990315844784236,0.0004398371153454517,0.08441558441558442
152,0.01012088838909193,0.22540571657461173,0.00036799428895348957,0.004601182603961733,0.0005817197428805889,0.10368482947863583
178,0.013775653640708463,0.20126810646010201,0.0004441603056546299,0.001522859107541054,0.00029758488331950184,0.056514418017259524
182,0.015603036266516728,0.19932571630978063,0.0004147667595808903,0.0013885293620648407,0.00016083873728146714,0.06994266994266994
214,0.02459938150126511,0.2570794745051034,0.0,0.02676289436189952,0.0016599199669365457,0.034055829228243024
271,0.02698903570424515,0.2281035961164275,0.0,0.009893477103544285,0.0013349240914416604,0.05554646596858639
286,0.0026707899915659264,0.19094270229855853,0.0,0.000743387633380562,0.00017367757770305088,0.20175438596491227
300,0.003092493674444757,0.18414514585748032,0.0,0.0005100104654659618,0.00015065607046072744,0.1038961038961039
348,0.007871802080404836,0.19394831695927034,0.00012177700731553722,0.0008880850134542297,0.00017393564565284635,0.07142857142857142
349,0.002249086308687096,0.17291983021369792,3.8921429685063013e-07,0.00015815078958382646,9.460415271381966e-05,0.11666666666666667
371,0.019820073095305032,0.19808996446534205,0.0005361097081206595,0.0011378422154188878,0.0002892903392357495,0.05640012161751292
567,0.003935901040202418,0.1990285795341498,0.00019076257128639143,0.0012329261228665013,0.00033152691295165287,0.11803713527851459
581,0.0016868147315153219,0.17424422341795495,0.0,0.00026189134131647144,0.00010905154270480289,0.1590909090909091
584,0.0026707899915659264,0.19866895941913884,1.4274862369768004e-05,0.001143845195333388,0.00022615441013923313,0.22514619883040934
586,0.0032330615687377003,0.19749346554968225,1.8027780459121286e-05,0.0011931935665509552,0.00010518825019481072,0.1225296442687747
590,0.0056227157717177395,0.20027610679256055,3.4823435627436097e-05,0.0014393683427311459,0.00019458075864204938,0.1514762516046213
604,0.002951925780151813,0.17612974366972606,5.744699889345781e-05,0.00022924789661386,0.00018151640169193398,0.1261904761904762
611,0.003514197357323587,0.195569995095922,0.0,0.0012376855550283669,0.0002164090559846353,0.09166666666666666
8283,0.0014056789429294349,0.19002102368881496,0.0,0.0009261056625871056,0.0003287923832617068,0.044444444444444446
25,0.012651110486364914,0.0,0.0,1.6035697505115786e-27,5.0487823458630175e-05,0.10074906367041199
6,0.0452628619623278,0.19008256517973945,0.0015726923721193398,0.0008794254474592591,0.00031183250978437466,0.03712770692624775
8,0.03176834411020523,0.21884754767532696,0.00395518511682223,0.0034437967404901846,0.00032663557615950425,0.05986386528171231
19,0.008574641551869553,0.176871395220947,6.783210664008847e-05,0.0002995769663431582,0.00013112179292607275,0.17552026286966046
23,0.013494517852122575,0.21538018144782714,0.0007775047859401168,0.0025638177885482483,0.0001712239063742033,0.0901009657594381
29,0.026848467809952207,0.19181865715993307,0.0008644948077292854,0.0012471433340071616,0.00018490986415744417,0.06375117189654221
33,0.008152937868990722,0.21841281896412335,0.00042169279913105044,0.002845610515969132,0.0003386160040196026,0.13264688067837674
35,0.02459938150126511,0.22354564428571044,0.0014538217483815185,0.009955767742147145,0.0007007673625519547,0.08370044052863436
50,0.006466123137475401,0.19774418457497672,0.0003268565168456106,0.0011089038781654968,0.00040784053278751845,0.20397286821705427
55,0.018414394152375595,0.2180433834581473,0.001681653496654194,0.003003786534649205,0.0009495051440874037,0.08601834430856067
75,0.014056789429294348,0.1976291927146297,0.0005292092555236193,0.0012202665991578366,0.000479382955791831,0.06046511627906977
80,0.014337925217880236,0.1800488276930085,0.00030721454434127127,0.0005007005957481744,0.0002831018285651443,0.10510977268311637
86,0.032330615687377,0.2117687537183445,0.0017861823349649775,0.0037171586752439687,0.0008513640893173855,0.05221669262622042
94,0.015040764689344953,0.1773665042173903,0.0003278756469750899,0.0004054856944576036,0.0002738669766492548,0.07384859714134463
127,0.021225752038234468,0.17632080980048748,0.00035116040664856654,0.0003948869396656803,9.816867983077857e-05,0.055810667608618865
154,0.011104863649142536,0.17831403812973695,0.00015812774701967345,0.0002934402003791328,0.00011657540422981118,0.1078622482131254
192,0.006466123137475401,0.19014057318498223,0.00016810622784433688,0.0008260162985039875,0.00023696930657024585,0.11385658914728682
224,0.004357604723081248,0.17640401139061607,1.049860208826137e-05,0.00029300976437161207,0.00010737291762504586,0.15442764578833693
226,0.006466123137475401,0.20695049874833565,0.0001606873919734607,0.0023001422384401533,0.00018632856798393794,0.1021297192642788
246,0.0033736294630306437,0.212769141114965,7.75023135788151e-05,0.002621378006529228,0.0001397464696216348,0.10545454545454545
252,0.005341579983131853,0.1791694422085741,0.0,0.0005570314964686871,0.00017693558073974,0.14722617354196302
255,0.015743604160809672,0.1889297927624165,0.00030119156343354285,0.0007587980640797616,0.00016496664840568207,0.10301224226804123
257,0.0046387405116671354,0.18461006466123137,6.0429644353144084e-05,0.0003891834481821199,0.00017660864590929976,0.12333965844402277
261,0.004498172617374192,0.20432629041265496,7.395544434050114e-05,0.0014916197123830259,0.00014828212153625845,0.17575757575757575
273,0.0028113578858588698,0.1773580894482368,8.975293043077866e-06,0.0002662614984743949,0.00011576263040134176,0.20899470899470898
280,0.013775653640708463,0.1863771965993586,0.00026457428629273947,0.0007354550196936154,0.00021388151591968753,0.0664843256890385
282,0.01967950520101209,0.210303432121396,0.0010093943784157343,0.00282669752860417,0.0010828961137115444,0.058333333333333334
299,0.022209727298285072,0.2351957691814519,0.0,0.008870965530878395,0.001111572236198922,0.05591389180037088
302,0.005201012088838909,0.17504934488621163,7.143973123372383e-05,0.00031403005248030556,0.00017448484875268083,0.07593984962406015
306,0.03739105988192297,0.18539743153094304,0.00037763060672921835,0.0006731728195992441,9.712342096658833e-05,0.048507462686567165
308,0.02572392465560866,0.19323652483148637,0.00039758528847881695,0.0017639703078617076,0.00018140383955900965,0.08400432640307655
310,0.038375035141973574,0.19262914460709718,0.000993641090472219,0.0010268955327753496,0.0002879791021770649,0.048393179430541715
322,0.00604441945459657,0.20336364520137992,0.0,0.0016098488735004643,0.00030999428223364787,0.11295681063122924
325,0.009839752600506044,0.2018222647189945,0.00016952289829889083,0.0014863508058834112,0.00020042296035987264,0.07950310559006211
339,0.014056789429294348,0.1827420349704226,0.00019870853296203293,0.0003662410629615381,0.00013270127106662598,0.06022635408245756
356,0.008574641551869553,0.20634507972566843,0.0002564951088222015,0.001950669174075726,0.00035770673812582685,0.1025711159737418
358,0.0016868147315153219,0.17364552942469086,0.0,0.00012909983221229512,0.00010765458423263136,0.09848484848484848
363,0.002951925780151813,0.17262439090274914,0.00011971708687679571,0.00018094003736078166,0.0002897276440484437,0.07177033492822966
370,0.006325555243182457,0.20430837757956966,0.0,0.0016347278782575948,0.00044807025055352683,0.08686868686868687
373,0.0028113578858588698,0.18587873343212002,0.0,0.0006178951206689982,0.00017604318569267916,0.12368421052631579
377,0.003935901040202418,0.18274924444756818,0.0,0.00036278175133668537,0.00017137439056381863,0.05555555555555555
379,0.002951925780151813,0.18321593999703936,0.0,0.0004417533732873604,0.00010226684535647772,0.12380952380952381
407,0.03935901040202418,0.23290472926234723,0.0021846677025210465,0.012125065021992927,0.0009321590642571336,0.05251702770522866
415,0.009839752600506044,0.22200568973157167,0.0001076439216378594,0.008856362537247251,0.0003924598829695656,0.10335542667771334
422,0.002249086308687096,0.20530323711130694,0.0,0.0021734849388147376,0.00014939508244790067,0.06666666666666667
428,0.003092493674444757,0.1807629062409767,0.0,0.00047440737506802773,0.00015736396959121953,0.15367965367965367
439,0.010964295754849591,0.22038282198844164,7.786380451931725e-05,0.00527993601474988,0.000430292854569774,0.12366666666666666
488,0.0036547652516165305,0.18372094600894118,2.4287335741887255e-06,0.0006669592748328529,0.00010721356495180244,0.17692307692307693
514,0.0028113578858588698,0.2057216543596716,0.0,0.002169323414657113,0.00027388368569639826,0.12894736842105264
545,0.010261456283384875,0.2112064299090359,0.000245913462788543,0.004563030027062676,0.00044268309340101997,0.09782608695652174
549,0.009277481023334271,0.20717988302981244,0.00022408806571438698,0.002302252254505095,0.0005821674764842345,0.09491604477611941
560,0.0067472589260612875,0.21569084983786843,0.0002833533263355371,0.0026076125373266455,0.00041481310982103176,0.06571936056838366
592,0.004076468934495361,0.19825805098588964,0.00011079121275423677,0.0011062426241423878,0.00012236748661421704,0.12995049504950495
600,0.040905257239246554,0.23177839973897546,0.0031101472691549984,0.006845371678083482,0.0007331339106458741,0.056983332938191994
645,0.0033736294630306437,0.17292782909565804,9.111664090485261e-06,0.0001822793641167666,6.997563942485008e-05,0.13405797101449277
650,0.015743604160809672,0.1690568357703584,5.7503366177507676e-05,0.0001215351118444283,6.766389861048441e-05,0.039494851994852
659,0.008152937868990722,0.22179494567724328,0.0001423507834592914,0.005377080746736693,0.00020396625735167142,0.11887477313974591
664,0.005482147877424796,0.18179117921561638,7.782186522787093e-05,0.0005050984046616587,0.00014705861862734077,0.06747638326585695
667,0.007590666291818949,0.22140087707373024,0.00024332925960560226,0.003961015707358215,0.00042673136969066596,0.09125874125874125
673,0.006606691031768344,0.18991840120859255,9.173397790749636e-05,0.0011627799754244563,0.00023324579985905083,0.1259259259259259
675,0.0036547652516165305,0.18479117339754755,4.966296542142918e-06,0.0005799586973063696,0.00011918372261819618,0.1646153846153846
696,0.005482147877424796,0.204382144737299,8.819707722912778e-05,0.0024010821745876804,0.0002827552343057353,0.11891891891891893
706,0.016727579420860277,0.18797977620505532,0.00012562356164595853,0.0008082362767904542,9.743865687052646e-05,0.07122507122507123
723,0.0036547652516165305,0.1881500734505982,4.570925361613741e-07,0.0010191354586661268,0.00015545631135223913,0.2222222222222222
739,0.00843407365757661,0.22034501634428155,0.0,0.004638777781038212,0.0004863886423818306,0.08813559322033898
756,0.008996345234748383,0.22512964271837024,0.0,0.0048008683314470415,0.000599591872290229,0.0689484126984127
857,0.0161653078436885,0.2220003871099233,0.0,0.008348403162905249,0.00047928124901166526,0.08215102974828375
864,0.0028113578858588698,0.18506550708727076,0.0,0.0007661604210479172,9.448462172656751e-05,0.14736842105263157
893,0.007450098397526005,0.2231652570679266,0.0,0.004047191883568612,0.0003531787194821059,0.08817126269956459
